,tot_vap_20,bvap_20,hvap_20,asian_nhpi_vap_20,amin_vap_20,other_vap_20,white_vap_20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,pres_08_dem,pres_08_rep,pres_12_dem,pres_12_rep,pres_16_dem,pres_16_rep,sen_16_dem,sen_16_rep,gov_18_dem,gov_18_rep,ag_18_dem,ag_18_rep,pres_20_dem,pres_20_rep,sen_20_dem,sen_20_rep
vtd:08031031913,1659,85,168,75,21,15,1295,1953,104,215,92,27,24,1491,671,314,604,313,752,306,764,340,781,292,754,330,1099,323,1068,367
vtd:08031031914,1163,24,98,51,11,23,956,1473,50,160,74,13,37,1139,544,275,532,334,582,288,575,307,595,272,556,305,707,260,681,315
vtd:08031031723,1648,288,1148,73,13,0,126,2317,400,1661,85,15,4,152,415,60,542,77,675,69,636,88,464,65,455,67,707,116,710,93
vtd:08031031917,1644,76,174,65,6,29,1294,1891,96,216,88,8,31,1452,736,487,706,432,788,359,818,389,802,359,786,382,967,364,931,415
vtd:08031031931,890,60,50,47,21,14,698,1128,85,58,64,23,23,875,398,350,377,335,401,263,395,284,382,270,361,287,491,272,480,293
vtd:08031031722,1800,413,1183,53,6,7,138,2660,552,1845,77,7,8,171,503,48,651,58,679,75,642,102,531,78,546,76,756,108,779,103
vtd:08031031650,1685,321,231,70,14,9,1040,1973,429,323,89,20,14,1098,556,229,609,267,627,225,629,221,599,194,600,204,731,246,704,262
vtd:08031031514,2638,97,276,153,31,18,2063,2680,106,284,155,31,20,2084,285,116,473,327,860,226,768,284,896,212,850,215,1268,257,1213,303
vtd:08031031741,1715,494,733,190,14,14,270,2458,717,1084,268,14,26,349,489,128,642,128,613,122,612,136,499,95,496,109,698,144,689,155
vtd:08031031652,1170,115,63,25,19,15,933,1184,126,65,26,19,15,933,671,472,278,205,577,309,607,303,610,290,589,325,713,293,687,307
vtd:08031031646,3160,988,931,178,16,35,1012,4128,1292,1360,226,31,39,1180,737,232,886,234,797,232,786,247,686,181,675,208,965,254,933,264
vtd:08031031908,1517,74,225,50,17,34,1117,1915,103,335,77,21,38,1341,699,301,626,285,704,278,723,277,720,256,687,288,895,276,852,315
vtd:08031031518,1191,70,133,218,12,16,742,1233,79,139,222,14,17,762,295,131,449,278,478,165,476,176,429,142,410,155,552,180,544,187
vtd:08031031524,2384,131,282,182,28,28,1733,2478,152,312,188,31,32,1763,527,206,612,353,753,283,733,332,712,237,681,248,829,265,806,294
vtd:08031031714,2116,691,1092,106,9,5,213,3015,890,1735,148,10,10,222,560,46,624,54,642,66,608,92,511,69,508,76,765,100,743,116
vtd:08031031214,1275,47,128,49,25,22,1004,1414,60,153,56,29,27,1089,553,70,631,92,710,95,675,137,732,97,690,122,867,121,856,136
vtd:08031031216,1627,35,153,75,22,14,1328,1697,40,168,91,22,15,1361,682,145,701,167,840,107,776,137,936,122,912,137,1205,125,1186,156
vtd:08031031221,2101,77,176,120,34,21,1673,2339,94,211,153,43,23,1815,1072,185,1058,277,1182,185,1137,258,1197,175,1175,184,1433,169,1409,207
vtd:08031031537,2331,121,1467,122,33,16,572,3113,163,2078,138,48,16,670,434,129,644,152,665,199,655,199,577,156,576,156,808,262,793,271
vtd:08031031909,1346,84,122,54,17,21,1048,1731,126,187,79,20,25,1294,720,353,736,327,794,248,790,277,830,259,784,296,932,266,907,294
vtd:08031031249,1301,7,54,40,10,16,1174,1704,17,68,65,20,32,1502,618,522,647,530,739,367,758,411,740,408,707,436,920,333,880,397
vtd:08031031809,1938,250,294,88,33,35,1238,2101,330,325,88,41,43,1274,312,72,284,78,489,130,467,157,409,120,395,127,1045,252,1021,264
vtd:08031031529,3914,450,536,197,52,36,2643,4053,473,578,209,57,36,2700,777,228,771,257,933,247,906,266,1175,253,1117,295,1851,378,1793,463
vtd:08031031710,1067,156,111,81,16,10,693,1491,185,173,122,20,23,968,522,104,612,164,658,75,643,116,623,103,616,106,742,117,727,137
vtd:08031031539,1567,108,806,42,29,22,560,2094,218,1146,51,39,27,613,454,160,523,130,493,155,510,158,483,121,478,115,643,194,643,193
vtd:08031031224,2088,40,158,111,26,19,1734,2297,43,188,125,26,31,1884,686,154,605,206,841,167,808,201,835,160,819,171,1336,225,1289,268
vtd:08031031232,1686,79,313,68,23,32,1171,1816,97,368,75,25,34,1217,536,125,429,150,521,133,486,152,535,111,517,121,850,181,839,191
vtd:08031031401,1599,42,400,47,29,17,1064,1914,51,517,68,30,17,1231,713,263,657,219,709,237,716,252,748,230,736,238,966,311,935,338
vtd:08031031405,1410,29,301,58,28,21,973,1713,39,396,77,29,22,1150,788,197,790,202,878,181,841,212,830,185,791,210,956,197,933,228
vtd:08031031206,2292,114,297,117,20,30,1714,2345,132,304,118,25,32,1734,709,149,1032,278,1162,161,1078,193,1113,137,1080,153,1379,141,1322,177
vtd:08031031521,1325,192,330,53,29,27,694,1585,307,400,57,32,34,755,546,53,635,95,711,75,674,95,634,77,623,77,869,99,853,110
vtd:08031031603,1248,159,280,34,47,12,716,1580,241,424,51,51,13,800,522,101,528,117,602,116,596,142,607,99,594,103,748,138,739,139
vtd:08031031838,1577,229,512,40,35,21,740,1964,325,707,50,37,22,823,584,114,694,122,670,122,676,133,629,97,614,108,810,157,800,160
vtd:08031031217,1377,64,120,41,17,28,1107,1520,76,136,46,17,32,1213,805,167,776,214,856,149,841,191,829,156,812,172,986,139,961,171
vtd:08031031406,1091,18,361,31,17,9,655,1328,32,438,47,19,10,782,571,120,629,126,674,142,656,161,608,136,596,158,747,147,731,165
vtd:08031031413,1585,42,210,83,17,26,1207,1912,61,248,97,20,28,1458,902,218,876,260,978,205,954,253,987,212,958,232,1220,195,1175,242
vtd:08031031813,1217,268,273,24,22,6,624,1597,398,411,34,27,8,719,552,53,643,58,742,37,687,62,645,53,647,49,818,52,799,73
vtd:08031031604,3067,1004,631,496,22,17,897,4307,1550,909,806,33,17,992,783,126,950,145,853,167,829,162,745,121,717,133,1021,186,1012,183
vtd:08031031504,1972,54,1570,8,27,16,297,2747,105,2238,8,36,18,342,443,64,639,51,581,101,587,110,461,64,459,66,755,132,751,129
vtd:08031031127,2090,65,308,96,26,13,1582,2310,80,380,125,29,17,1679,674,541,447,390,649,503,704,481,644,399,624,424,924,528,894,557
vtd:08031031112,1409,29,401,71,20,14,874,1717,54,524,91,26,25,997,517,327,531,349,491,323,502,350,496,265,474,287,669,346,651,362
vtd:08031031225,919,14,55,15,1,13,821,1125,20,76,27,7,19,976,458,141,521,208,562,128,534,182,538,146,523,155,679,126,652,166
vtd:08031031608,1243,12,45,26,1,19,1140,1505,15,67,38,1,21,1363,875,257,785,316,919,167,918,215,906,217,899,226,1064,163,1014,229
vtd:08031031408,1908,28,280,55,22,35,1488,2260,41,367,74,23,39,1716,910,188,894,215,909,201,870,243,961,203,924,234,1272,243,1232,279
vtd:08031031414,1527,29,197,52,21,16,1212,1836,35,233,72,26,20,1450,860,205,849,249,922,179,898,210,902,195,880,217,1084,201,1046,247
vtd:08031031814,954,189,152,33,4,10,566,1225,261,218,47,10,10,679,565,52,579,52,643,39,621,53,611,47,613,45,713,61,711,67
vtd:08031031812,1334,201,206,47,3,13,864,1609,292,271,64,11,17,954,661,73,726,90,731,84,719,97,699,85,683,95,847,93,843,102
vtd:08031031202,2094,205,295,119,30,26,1419,2193,225,316,126,35,29,1462,547,139,705,244,865,144,838,163,837,130,807,143,981,139,950,162
vtd:08031031113,1107,12,344,67,13,17,654,1407,37,481,88,19,28,754,533,306,537,315,510,280,543,276,493,253,485,268,619,294,610,305
