,tot_vap_20,bvap_20,hvap_20,asian_nhpi_vap_20,amin_vap_20,other_vap_20,white_vap_20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,pres_08_dem,pres_08_rep,pres_12_dem,pres_12_rep,pres_16_dem,pres_16_rep,sen_16_dem,sen_16_rep,gov_18_dem,gov_18_rep,ag_18_dem,ag_18_rep,pres_20_dem,pres_20_rep,sen_20_dem,sen_20_rep
vtd:08031031902,3216,319,655,109,72,41,2020,3647,408,830,121,88,45,2155,785,281,1035,323,1054,269,1024,308,1071,235,1042,257,1439,293,1390,339
vtd:08031031527,3368,491,1136,181,75,31,1454,4348,776,1606,207,92,41,1626,867,121,998,124,1039,115,1015,133,993,113,983,110,1498,223,1472,227
vtd:08031031525,2379,203,294,172,48,27,1635,2449,216,312,176,49,27,1669,469,177,521,274,641,186,623,199,666,173,652,188,990,214,940,261
vtd:08031031607,738,33,48,26,9,11,611,926,51,63,39,14,14,745,452,137,454,135,501,117,503,125,515,129,506,135,597,102,595,113
vtd:08031031744,6858,584,818,716,98,114,4528,10316,915,1325,1142,131,188,6615,589,163,84,28,1847,440,1751,554,2683,675,2546,758,4616,988,4432,1202
vtd:08031031215,1926,96,242,73,30,41,1444,2055,122,273,82,32,41,1505,868,188,869,224,1096,183,1046,219,1065,156,1041,174,1292,148,1269,181
vtd:08031031218,2452,50,230,74,43,24,2031,2586,61,263,89,44,25,2104,1235,214,1247,277,1336,183,1283,218,1341,165,1302,180,1687,186,1626,251
vtd:08031031222,1104,31,84,34,16,21,918,1255,43,100,49,17,22,1024,526,131,644,194,716,96,674,137,723,107,709,111,825,112,816,125
vtd:08031031905,330,24,30,17,4,10,245,429,45,51,25,7,10,291,172,61,166,57,182,52,183,70,183,53,176,57,241,45,231,52
vtd:08031031245,1645,47,85,218,15,21,1259,2018,50,110,247,19,27,1565,645,287,582,345,695,272,681,315,644,308,636,309,878,293,847,344
vtd:08031031246,1275,44,102,50,8,12,1059,1687,53,133,85,10,14,1392,636,324,624,343,683,263,680,290,663,282,665,272,828,252,808,296
vtd:08031031526,1866,236,252,100,43,40,1195,1903,239,267,113,43,40,1201,462,114,392,126,320,88,300,100,359,117,358,116,688,180,669,197
vtd:08031031528,2642,173,603,134,55,38,1639,2861,211,715,140,57,43,1695,990,188,1185,235,1228,194,1171,221,1154,153,1134,153,1418,187,1410,191
vtd:08031031837,1578,254,376,53,32,22,841,1943,345,506,60,33,30,969,713,121,723,129,770,104,753,144,732,109,727,98,867,139,843,157
vtd:08031031109,2043,63,1390,215,18,14,343,2803,122,1996,270,24,19,372,396,139,486,130,468,163,453,169,400,122,395,128,550,235,576,209
vtd:08031031233,2412,52,176,99,36,37,2012,2756,75,215,118,43,46,2259,840,202,948,332,1185,264,1144,338,1208,277,1194,307,1602,311,1530,400
vtd:08031031428,2582,134,1591,47,45,23,742,3450,200,2287,51,52,28,832,495,134,744,142,694,168,686,173,590,122,574,130,852,208,849,211
vtd:08031031402,2196,76,480,114,16,26,1484,2573,97,614,128,25,26,1683,844,198,906,255,987,217,919,234,928,161,905,177,1133,183,1104,220
vtd:08031031403,1690,34,726,26,13,15,876,2020,64,930,26,14,15,971,567,128,682,137,714,153,726,166,702,148,694,153,996,215,972,238
vtd:08031031516,922,68,336,28,9,12,469,1124,106,438,31,12,19,518,283,33,406,24,442,23,431,39,425,27,429,21,601,51,596,56
vtd:08031031520,1395,211,292,34,40,11,807,1620,281,364,35,42,14,884,291,60,735,211,619,150,591,129,500,100,490,108,723,163,718,168
vtd:08031031811,1342,208,234,69,17,22,792,1566,275,305,76,20,33,857,638,48,716,76,753,62,720,92,697,53,686,64,851,68,844,77
vtd:08031031615,997,53,84,67,8,19,766,1470,63,138,117,9,33,1110,454,198,492,263,633,176,623,218,623,183,593,211,761,161,734,195
vtd:08031031240,1379,83,270,58,28,25,915,1672,120,389,68,34,31,1030,494,136,525,184,530,164,533,159,576,125,562,140,721,185,714,192
vtd:08031031212,1653,57,177,70,8,44,1297,1706,67,184,75,8,44,1328,830,172,779,163,876,150,842,178,988,135,961,145,1117,154,1091,173
vtd:08031031407,1675,24,227,61,18,19,1326,1945,35,264,77,20,22,1527,789,181,842,198,930,186,913,213,940,185,921,201,1180,213,1156,256
vtd:08031031419,1490,27,207,48,32,28,1148,1790,37,249,59,34,34,1377,782,250,809,266,898,208,854,260,913,224,880,245,1094,215,1061,256
vtd:08031031801,1355,171,517,37,14,3,613,1651,211,688,40,20,11,681,477,36,636,61,594,32,577,56,551,47,539,53,799,63,777,94
vtd:08031031850,1214,32,54,46,9,18,1055,1314,40,64,56,14,20,1120,727,155,639,143,786,141,772,166,784,149,752,165,902,120,872,157
vtd:08031031125,1679,50,330,97,42,28,1132,2102,79,424,137,48,45,1369,523,372,533,426,503,426,510,445,533,355,522,362,686,483,668,490
vtd:08031031702,1502,68,157,122,14,10,1131,2279,97,227,207,24,20,1704,126,37,237,84,932,178,861,254,912,207,874,229,1094,180,1057,229
vtd:08031031223,907,10,45,25,11,13,803,1109,16,62,36,11,20,964,543,156,516,180,568,116,554,156,558,139,548,154,665,144,644,175
vtd:08031031616,1219,24,70,37,8,19,1061,1595,29,90,55,8,23,1390,730,408,624,457,699,319,725,349,668,400,668,397,856,309,802,385
vtd:08031031404,1607,14,223,31,13,26,1300,1909,21,266,52,21,31,1518,729,170,789,198,875,168,850,195,904,161,873,172,1207,205,1166,242
vtd:08031031412,1649,37,233,40,16,10,1313,1906,42,291,51,19,21,1482,975,187,943,234,1006,166,994,186,927,157,908,166,1252,147,1217,185
vtd:08031031802,1155,193,376,29,13,18,526,1461,254,519,39,16,19,614,522,35,595,54,661,33,638,66,617,45,608,50,768,53,757,64
vtd:08031031817,998,235,137,43,6,2,575,1199,280,177,52,6,5,679,587,34,635,54,640,78,610,93,691,51,673,70,790,60,786,67
vtd:08031031810,2269,529,373,89,43,18,1217,2636,670,469,111,54,24,1308,643,80,753,146,782,119,736,136,959,112,944,126,1253,142,1232,161
vtd:08031031107,2766,74,1631,157,46,27,831,3713,116,2326,204,56,36,975,714,309,833,316,806,330,816,323,704,290,686,308,967,391,963,398
vtd:08031031128,1052,21,127,151,10,10,733,1404,43,203,199,15,14,930,416,426,330,355,394,369,421,384,388,355,350,394,505,390,481,418
vtd:08031031431,2129,43,1325,35,29,20,677,2732,60,1839,45,36,25,727,643,142,742,154,830,180,808,180,727,159,706,176,1018,244,1028,239
vtd:08031031435,2091,42,1562,44,31,11,401,2979,87,2315,60,44,21,452,420,94,506,80,622,146,600,129,470,110,478,109,718,177,718,184
vtd:08031031636,1163,12,35,34,10,26,1046,1524,15,46,61,13,37,1352,706,278,664,361,773,226,746,277,728,252,716,257,883,214,834,275
vtd:08031031227,1001,15,55,42,17,16,856,1174,17,77,53,18,19,990,565,153,540,218,603,162,594,178,566,171,540,197,702,182,663,229
vtd:08031031132,1687,39,227,100,15,24,1282,1958,52,286,125,19,25,1451,422,484,464,601,487,527,508,545,483,483,462,513,672,534,644,582
vtd:08031031422,1718,38,274,62,33,34,1277,2068,64,354,91,36,40,1483,667,132,780,203,881,185,832,236,899,213,857,220,1179,271,1149,311
vtd:08031031203,1224,98,128,62,16,13,907,1287,110,138,64,16,15,944,463,83,565,160,677,114,651,143,683,94,657,110,800,92,786,98
vtd:08031031208,1782,83,207,63,37,33,1359,1838,92,220,69,42,39,1376,887,117,933,138,986,88,922,106,997,59,977,69,1078,73,1077,88
vtd:08031031209,1470,73,122,70,34,10,1161,1505,79,129,74,35,10,1178,673,137,752,171,805,113,764,150,772,104,742,114,943,111,925,136
vtd:08031031826,1576,318,187,76,40,21,934,1714,370,219,82,42,24,977,661,107,675,143,712,113,705,118,706,84,689,98,929,116,919,131
vtd:08031031101,3220,117,2454,115,41,16,477,4758,211,3721,155,54,28,589,639,146,780,132,723,163,730,164,613,127,615,122,962,219,971,201
vtd:08031031234,1782,27,129,72,24,35,1495,2141,37,162,96,26,46,1774,899,236,943,371,1052,258,1039,324,1076,269,1044,304,1389,269,1333,351
vtd:08031031236,1217,13,77,48,10,25,1044,1456,36,96,56,14,29,1225,604,166,609,225,650,170,644,238,687,206,665,220,839,188,796,237
vtd:08031031425,1645,159,559,69,32,15,811,2105,266,756,82,47,20,934,358,97,595,125,598,106,582,113,560,107,554,103,841,178,821,206
vtd:08031031409,1302,17,220,31,18,18,998,1574,26,264,40,18,18,1208,783,152,798,179,835,123,806,158,857,150,828,169,1000,157,966,176
vtd:08031031827,1492,139,130,54,12,17,1140,1765,182,166,60,15,24,1318,626,77,701,103,880,81,848,119,946,94,923,104,1115,89,1076,127
